,date,wind_code,sec_name,wind_type1
1,2020-11-15,000001.SZ,平安银行,A股
2,2020-11-15,000002.SZ,万科A,A股
3,2020-11-15,000004.SZ,国农科技,A股
4,2020-11-15,000005.SZ,世纪星源,A股
5,2020-11-15,000006.SZ,深振业A,A股
6,2020-11-15,000007.SZ,全新好,A股
7,2020-11-15,000008.SZ,神州高铁,A股
8,2020-11-15,000009.SZ,中国宝安,A股
9,2020-11-15,000010.SZ,美丽生态,A股
10,2020-11-15,000011.SZ,深物业A,A股
11,2020-11-15,000012.SZ,南玻A,A股
12,2020-11-15,000014.SZ,沙河股份,A股
13,2020-11-15,000016.SZ,深康佳A,A股
14,2020-11-15,000017.SZ,*ST中华A,A股
15,2020-11-15,000019.SZ,深粮控股,A股
16,2020-11-15,000020.SZ,深华发A,A股
17,2020-11-15,000021.SZ,深科技,A股
18,2020-11-15,000023.SZ,深天地A,A股
19,2020-11-15,000025.SZ,特力A,A股
20,2020-11-15,000026.SZ,飞亚达,A股
21,2020-11-15,000027.SZ,深圳能源,A股
22,2020-11-15,000028.SZ,国药一致,A股
23,2020-11-15,000029.SZ,深深房A,A股
24,2020-11-15,000030.SZ,富奥股份,A股
25,2020-11-15,000031.SZ,大悦城,A股
26,2020-11-15,000032.SZ,深桑达A,A股
27,2020-11-15,000034.SZ,神州数码,A股
28,2020-11-15,000035.SZ,中国天楹,A股
29,2020-11-15,000036.SZ,华联控股,A股
30,2020-11-15,000037.SZ,深南电A,A股
31,2020-11-15,000038.SZ,深大通,A股
32,2020-11-15,000039.SZ,中集集团,A股
33,2020-11-15,000040.SZ,东旭蓝天,A股
34,2020-11-15,000042.SZ,中洲控股,A股
35,2020-11-15,000045.SZ,深纺织A,A股
36,2020-11-15,000046.SZ,泛海控股,A股
37,2020-11-15,000048.SZ,京基智农,A股
38,2020-11-15,000049.SZ,德赛电池,A股
39,2020-11-15,000050.SZ,深天马A,A股
40,2020-11-15,000055.SZ,方大集团,A股
41,2020-11-15,000056.SZ,皇庭国际,A股
42,2020-11-15,000058.SZ,深赛格,A股
43,2020-11-15,000059.SZ,华锦股份,A股
44,2020-11-15,000060.SZ,中金岭南,A股
45,2020-11-15,000061.SZ,农产品,A股
46,2020-11-15,000062.SZ,深圳华强,A股
47,2020-11-15,000063.SZ,中兴通讯,A股
48,2020-11-15,000065.SZ,北方国际,A股
49,2020-11-15,000066.SZ,中国长城,A股
50,2020-11-15,000068.SZ,华控赛格,A股
51,2020-11-15,000069.SZ,华侨城A,A股
52,2020-11-15,000070.SZ,特发信息,A股
53,2020-11-15,000078.SZ,海王生物,A股
54,2020-11-15,000088.SZ,盐田港,A股
55,2020-11-15,000089.SZ,深圳机场,A股
56,2020-11-15,000090.SZ,天健集团,A股
57,2020-11-15,000096.SZ,广聚能源,A股
58,2020-11-15,000099.SZ,中信海直,A股
59,2020-11-15,000100.SZ,TCL科技,A股
60,2020-11-15,000150.SZ,宜华健康,A股
61,2020-11-15,000151.SZ,中成股份,A股
62,2020-11-15,000153.SZ,丰原药业,A股
63,2020-11-15,000155.SZ,川能动力,A股
64,2020-11-15,000156.SZ,华数传媒,A股
65,2020-11-15,000157.SZ,中联重科,A股
66,2020-11-15,000158.SZ,常山北明,A股
67,2020-11-15,000159.SZ,国际实业,A股
68,2020-11-15,000166.SZ,申万宏源,A股
69,2020-11-15,000301.SZ,东方盛虹,A股
70,2020-11-15,000333.SZ,美的集团,A股
71,2020-11-15,000338.SZ,潍柴动力,A股
72,2020-11-15,000400.SZ,许继电气,A股
73,2020-11-15,000401.SZ,冀东水泥,A股
74,2020-11-15,000402.SZ,金融街,A股
75,2020-11-15,000403.SZ,双林生物,A股
76,2020-11-15,000404.SZ,长虹华意,A股
77,2020-11-15,000407.SZ,胜利股份,A股
78,2020-11-15,000408.SZ,*ST藏格,A股
79,2020-11-15,000409.SZ,ST地矿,A股
80,2020-11-15,000410.SZ,*ST沈机,A股
81,2020-11-15,000411.SZ,英特集团,A股
82,2020-11-15,000413.SZ,东旭光电,A股
83,2020-11-15,000415.SZ,渤海租赁,A股
84,2020-11-15,000416.SZ,民生控股,A股
85,2020-11-15,000417.SZ,合肥百货,A股
86,2020-11-15,000419.SZ,通程控股,A股
87,2020-11-15,000420.SZ,吉林化纤,A股
88,2020-11-15,000421.SZ,南京公用,A股
89,2020-11-15,000422.SZ,ST宜化,A股
90,2020-11-15,000423.SZ,东阿阿胶,A股
91,2020-11-15,000425.SZ,徐工机械,A股
92,2020-11-15,000426.SZ,兴业矿业,A股
93,2020-11-15,000428.SZ,华天酒店,A股
94,2020-11-15,000429.SZ,粤高速A,A股
95,2020-11-15,000430.SZ,张家界,A股
